ID,y
1,77.07485
2,93.93544
3,79.62424
4,76.90019
5,109.942116
8,89.22837
10,106.02616
11,94.33374
12,117.55668
14,93.90696
15,116.582436
16,104.42705
17,98.96157
19,96.40638
20,105.1915
21,99.09568
22,118.040115
23,98.96157
26,94.211494
28,95.44077
29,98.96157
33,98.96157
35,93.1507
41,98.898994
42,93.16203
43,116.32766
45,102.2132
46,105.04297
51,94.12518
53,88.12208
55,112.96388
56,97.17286
57,105.14751
58,93.4356
59,106.456276
63,109.74738
64,93.8965
65,105.631584
69,94.8782
71,98.00721
72,99.765305
73,93.690796
76,106.43149
77,104.749016
78,117.07433
82,93.54543
83,105.631584
84,94.216896
85,103.010376
87,111.623024
88,98.898994
89,112.41774
91,97.697075
93,94.780495
94,105.27238
95,91.71705
96,110.66757
97,94.93232
98,109.60836
99,95.54508
101,104.82276
103,112.41774
104,92.102196
105,109.48328
110,93.49202
111,107.05945
113,109.817566
114,92.502495
115,107.582344
117,112.41774
120,94.177505
121,111.869835
122,97.55433
123,109.9835
126,114.51523
132,109.21421
135,104.9078
137,108.06062
138,96.72148
140,97.527725
142,111.64683
144,112.6624
148,92.33839
149,111.54223
155,93.53248
156,112.49528
157,94.93232
162,113.85737
163,94.377625
167,93.67106
172,116.32766
179,110.406586
180,98.98448
181,110.60091
182,102.61599
183,112.41774
185,112.41774
187,114.13185
188,93.48148
189,94.9553
191,91.50302
192,105.0605
193,93.5571
194,110.18617
195,93.31222
196,110.607735
198,98.52577
199,112.30972
201,104.829865
204,98.0441
205,107.605286
206,100.22691
210,92.68375
211,104.82276
216,112.61196
219,117.60302
220,96.54213
221,103.672424
226,110.60091
227,94.65687
228,112.13873
230,110.66345
231,94.93232
235,118.09702
236,94.94056
238,111.0403
242,103.28372
243,96.91977
244,78.95508
245,109.81403
247,112.64062
248,87.369095
249,93.737236
250,110.75867
251,94.94056
253,118.09702
254,95.08422
256,94.53202
257,94.833206
258,111.63384
259,95.367615
262,90.23807
266,95.84828
267,112.37022
272,104.75037
273,112.41774
275,99.94843
276,112.53064
279,93.166626
280,105.631584
283,90.591415
285,111.04327
288,112.41774
289,98.36083
290,105.26397
291,93.47345
